t	v_d	thd_d	v_a	thd_a	ur	ul
-0.0000	0.0000	0.0000	-0.0002	-0.0001	15.3503	26.9841
0.0100	0.0000	0.0000	-0.0003	-0.0000	7.2556	64.4748
0.0200	0.0000	0.0000	0.0001	-0.0003	10.0731	-32.0520
0.0300	0.0000	0.0000	0.0007	0.0000	-121.4561	-59.5457
0.0480	0.0000	0.0000	-0.0001	0.0001	-29.6336	43.3496
0.0530	0.0000	0.0000	0.0002	0.0006	-105.6622	72.3344
0.0620	0.0000	0.0000	0.0001	-0.0006	31.7200	-68.3978
0.0700	0.0000	0.0000	0.0000	0.0009	-137.6406	128.2112
0.0800	0.0000	0.0000	-0.0002	0.0001	-11.5382	67.1095
0.0900	0.0000	0.0000	0.0001	-0.0002	-5.1380	-16.4554
0.1000	0.0000	0.0000	0.0000	-0.0006	56.5439	-58.2196
0.1100	0.0000	0.0000	-0.0001	-0.0001	16.9818	17.9167
0.1200	0.0000	0.0000	0.0006	-0.0003	-64.0159	-97.3930
0.1300	0.0000	0.0000	-0.0004	-0.0006	101.2374	-0.0079
0.1410	0.0000	0.0000	0.0001	0.0001	-52.6030	18.3379
0.1510	0.0000	0.0000	0.0000	0.0003	-67.5954	56.1349
0.1600	0.0000	0.0000	0.0000	0.0002	-52.5216	44.1468
0.1690	0.0000	0.0000	0.0004	-0.0000	-73.5850	-50.0648
0.1800	0.0000	0.0000	-0.0003	-0.0003	58.3755	24.9637
0.1900	0.0000	0.0000	-0.0004	0.0010	-98.3379	185.5452
0.2000	0.0000	0.0000	0.0002	0.0002	-68.8647	25.6475
0.2100	0.0000	0.0000	0.0004	0.0006	-130.1917	51.0612
0.2200	0.0000	0.0000	-0.0001	0.0002	-31.8880	66.9029
0.2300	0.0000	0.0000	-0.0001	0.0002	-32.5670	42.2651
0.2400	0.0000	0.0000	-0.0004	0.0000	22.5376	80.2161
0.2550	0.0000	0.0000	0.0004	0.0001	-77.9794	-14.5960
0.2630	0.0000	0.0000	-0.0005	-0.0012	186.4707	-57.9874
0.2700	0.0000	0.0000	-0.0000	0.0004	-64.8774	78.6524
0.2800	0.0000	0.0000	-0.0004	-0.0003	52.3205	34.8061
0.2900	0.0000	0.0000	0.0001	0.0004	-90.2727	61.3185
0.3000	0.0000	0.0000	0.0004	0.0006	-153.0818	68.6558
0.3120	0.0000	0.0000	0.0001	0.0002	-58.2762	34.9225
0.3200	0.0000	0.0000	0.0003	-0.0000	-61.0874	-9.9102
0.3300	0.0000	0.0000	0.0002	-0.0008	52.3910	-96.3447
0.3400	0.0000	0.0000	-0.0001	-0.0006	61.7077	-32.3348
0.3500	0.0000	0.0000	-0.0001	-0.0005	57.7015	-29.3331
0.3620	0.0000	0.0000	0.0003	-0.0003	-27.6041	-55.7829
0.3700	0.0000	0.0000	0.0001	0.0010	-163.3869	125.7126
0.3800	0.0000	0.0000	0.0002	0.0010	-177.6062	117.1693
0.3900	0.0000	0.0000	0.0003	0.0001	-69.3685	1.1140
0.4000	0.0000	0.0000	0.0004	-0.0000	-71.8186	-40.8584
0.4100	0.0000	0.0000	-0.0003	-0.0000	16.2051	60.8926
0.4200	0.0000	0.0000	-0.0002	0.0005	-59.9022	103.3697
0.4300	0.0000	0.0000	-0.0003	0.0000	8.1048	66.4399
0.4400	0.0000	0.0000	-0.0003	-0.0009	123.9616	-54.3548
0.4500	0.0000	0.0000	0.0004	-0.0004	-32.0515	-79.3870
0.4610	0.0000	0.0000	0.0000	-0.0000	-20.7109	18.3344
0.4700	0.0000	0.0000	0.0003	-0.0002	-29.6887	-40.5214
0.4800	0.0000	0.0000	-0.0001	0.0002	-39.9347	55.4695
0.4910	0.0000	0.0000	-0.0007	-0.0002	94.7380	85.8444
0.5000	0.0000	0.0000	0.0003	-0.0002	-30.6154	-49.6495
0.5100	0.0000	0.0000	0.0002	0.0003	-85.8714	38.4678
0.5190	0.0000	0.0000	0.0000	-0.0000	-21.9344	28.1107
0.5310	0.0000	0.0000	0.0003	0.0010	-172.5856	107.7831
0.5400	0.0000	0.0000	-0.0007	-0.0005	127.7738	46.7912
0.5510	0.0000	0.0000	-0.0001	0.0003	-47.7010	73.6784
0.5600	0.0000	0.0000	0.0003	-0.0003	-17.6396	-43.3644
0.5700	0.0000	0.0000	-0.0000	-0.0006	59.6749	-60.3153
0.5800	0.0000	0.0000	0.0004	-0.0002	-42.0482	-52.1455
0.5900	0.0000	0.0000	0.0003	-0.0003	-19.3254	-63.9221
0.6000	0.0000	0.0000	-0.0002	0.0008	-110.4493	147.8068
0.6100	0.0000	0.0000	-0.0001	0.0006	-83.7626	107.3529
0.6200	0.0000	0.0000	0.0004	0.0008	-168.7788	69.0723
0.6320	0.0000	0.0000	-0.0006	-0.0001	59.7796	90.8072
0.6400	0.0000	0.0000	-0.0001	-0.0005	45.7689	-12.2084
0.6500	0.0000	0.0000	0.0003	-0.0008	46.2999	-108.4519
0.6600	0.0000	0.0000	-0.0003	0.0004	-28.0937	98.7213
0.6700	0.0000	0.0000	-0.0000	0.0005	-82.5366	87.4849
0.6790	0.0000	0.0000	-0.0005	-0.0004	90.8337	36.4189
0.6920	0.0000	0.0000	-0.0000	-0.0001	-8.9420	15.7991
0.7000	0.0000	0.0000	-0.0005	-0.0005	89.9471	24.4305
0.7100	0.0000	0.0000	0.0006	-0.0005	-29.4916	-107.2660
0.7200	0.0000	0.0000	-0.0000	0.0001	-27.0790	31.7310
0.7300	0.0000	0.0000	0.0003	-0.0001	-57.3679	-21.7884
0.7400	0.0000	0.0000	0.0002	-0.0004	8.0255	-63.9720
0.7500	0.0000	0.0000	-0.0004	0.0002	-0.0695	96.7618
0.7610	0.0000	0.0000	-0.0003	-0.0004	60.0393	23.8200
0.7710	0.0000	0.0000	0.0000	-0.0001	-12.0786	-10.2802
0.7820	0.0000	0.0000	-0.0001	-0.0007	69.6633	-51.3268
0.7910	0.0000	0.0000	-0.0000	-0.0005	39.1795	-35.5725
0.8000	0.0000	0.0000	0.0001	0.0001	-46.8065	23.6672
0.8100	0.0000	0.0000	0.0001	0.0003	-78.4743	48.7125
0.8200	0.0000	0.0000	0.0004	-0.0001	-58.4438	-29.4146
0.8300	0.0000	0.0000	0.0006	0.0000	-100.9250	-51.8686
0.8400	0.0000	0.0000	-0.0006	-0.0003	82.6703	59.4670
0.8520	0.0000	0.0000	-0.0002	-0.0004	45.6216	-4.0215
0.8630	0.0000	0.0000	0.0004	-0.0002	-45.0435	-50.1405
0.8700	0.0000	0.0000	-0.0004	0.0005	-28.0237	132.0820
0.8800	0.0000	0.0000	0.0004	0.0004	-123.5879	34.5857
0.8900	0.0000	0.0000	0.0004	-0.0001	-59.2316	-27.2791
0.9000	0.0000	0.0000	-0.0002	-0.0002	33.9977	24.1944
0.9100	0.0000	0.0000	-0.0001	-0.0006	74.0450	-42.2463
0.9200	0.0000	0.0000	-0.0005	-0.0004	80.2332	42.0424
0.9300	0.0000	0.0000	0.0002	-0.0004	-5.6009	-52.5883
0.9400	0.0000	0.0000	-0.0001	-0.0001	0.2284	10.8441
0.9500	0.0000	0.0000	-0.0004	0.0001	18.8856	83.9778
0.9600	0.0000	0.0000	0.0003	0.0010	-174.6342	121.2047
0.9700	0.0000	0.0000	-0.0002	0.0007	-81.4374	131.0702
0.9810	0.0000	0.0000	0.0002	-0.0000	-37.0204	-1.7341
0.9910	0.0000	0.0000	0.0004	0.0001	-90.6498	-12.5544
0.9980	0.0000	0.0000	0.0000	-0.0003	8.1682	-10.8780
1.0100	0.0000	0.0000	0.0001	-0.0001	-17.3443	0.1568
1.0210	0.0000	0.0000	-0.0001	-0.0004	37.6483	-4.6116
1.0320	0.0000	0.0000	-0.0003	0.0005	-53.5860	118.8272
1.0430	0.0000	0.0000	-0.0002	-0.0006	64.9825	-27.3331
1.0500	0.0000	0.0000	-0.0009	-0.0005	142.5468	75.4853
1.0600	0.0000	0.0000	-0.0002	-0.0003	34.0964	6.7307
1.0700	0.0000	0.0000	-0.0001	0.0005	-74.9014	92.8842
1.0850	0.0000	0.0000	0.0001	0.0000	-38.4424	7.1164
1.0950	0.0000	0.0000	0.0001	-0.0000	-23.6542	13.2852
1.1050	0.0000	0.0000	0.0002	0.0002	-75.7135	18.7830
1.1200	0.0000	0.0000	-0.0002	0.0001	-14.3871	67.1158
1.1330	0.0000	0.0000	-0.0004	-0.0007	119.0860	-27.2155
1.1410	0.0000	0.0000	0.0001	-0.0002	-26.2389	-15.7534
1.1500	0.0000	0.0000	-0.0003	0.0008	-72.1508	145.0764
1.1600	0.0000	0.0000	-0.0002	-0.0002	11.0663	23.9761
1.1720	0.0000	0.0000	0.0001	-0.0003	-5.7443	-12.8136
1.1810	0.0000	0.0000	0.0002	0.0001	-53.2618	11.4219
1.1910	0.0000	0.0000	-0.0003	0.0002	-6.2049	75.1971
1.2000	0.0000	0.0000	-0.0001	0.0001	-18.6247	38.8242
1.2110	0.0000	0.0000	-0.0005	-0.0009	158.0689	-34.1188
1.2200	0.0000	0.0000	0.0006	0.0003	-127.3325	-1.1015
1.2310	0.0000	0.0000	0.0000	-0.0001	-17.6733	6.1016
1.2400	0.0000	0.0000	0.0004	0.0006	-141.2963	46.8576
1.2510	0.0000	0.0000	-0.0000	0.0003	-57.4691	53.7334
1.2600	0.0000	0.0000	0.0000	-0.0006	53.6507	-46.9461
1.2700	0.0000	0.0000	0.0001	0.0000	-36.9883	15.3935
1.2900	0.0000	0.0000	0.0005	-0.0006	-9.7671	-107.3925
1.2900	0.0000	0.0000	0.0002	-0.0004	2.9596	-55.2794
1.3020	0.0000	0.0000	-0.0002	0.0004	-48.8140	100.9804
1.3140	0.0000	0.0000	0.0001	0.0004	-82.4035	59.5044
1.3270	0.0000	0.0000	0.0002	-0.0001	-36.1296	-11.8230
1.3330	0.0000	0.0000	0.0004	0.0002	-97.5923	8.5654
1.3400	0.0000	0.0000	0.0003	0.0001	-79.7304	-16.6694
1.3540	0.0000	0.0000	-0.0001	0.0005	-66.8460	96.6042
1.3610	0.0000	0.0000	-0.0000	-0.0002	-1.8823	4.1195
1.3700	0.0000	0.0000	-0.0001	-0.0002	6.3662	21.2769
1.3800	0.0000	0.0000	0.0001	-0.0004	28.8881	-47.3957
1.3900	0.0000	0.0000	-0.0003	0.0002	-9.4653	73.6512
1.4010	0.0000	0.0000	0.0000	-0.0001	-18.6198	14.8045
1.4110	0.0000	0.0000	0.0002	-0.0010	70.5146	-118.7354
1.4200	0.0000	0.0000	-0.0001	0.0004	-68.6339	93.5589
1.4280	0.0000	0.0000	-0.0000	-0.0002	2.0676	-0.3388
1.4410	0.0000	0.0000	0.0003	0.0002	-76.7219	11.0987
1.4500	0.0000	0.0000	-0.0001	-0.0008	80.2335	-52.7702
1.4610	0.0000	0.0000	0.0003	0.0009	-161.1649	94.3140
1.4700	0.0000	0.0000	0.0004	-0.0002	-35.3770	-49.1214
1.4810	0.0000	0.0000	-0.0004	-0.0002	60.7041	42.0913
1.4900	0.0000	0.0000	-0.0003	-0.0002	34.3270	41.1254
1.5000	0.0000	0.0000	-0.0000	0.0009	-135.9611	140.1732
1.5100	0.0000	0.0000	0.0005	-0.0001	-74.4203	-45.6139
1.5210	0.0000	0.0000	0.0001	0.0001	-54.5975	23.4762
1.5310	0.0000	0.0000	-0.0011	-0.0004	163.5640	113.4125
1.5400	0.0000	0.0000	-0.0006	0.0002	14.7895	123.6745
1.5500	0.0000	0.0000	0.0002	0.0010	-168.3707	126.6008
1.5600	0.0000	0.0000	0.0003	-0.0004	-14.5380	-60.6681
1.5700	0.0000	0.0000	0.0007	0.0002	-136.2413	-32.4323
1.5800	0.0000	0.0000	-0.0001	0.0004	-64.2776	87.2736
1.5930	0.0000	0.0000	0.0004	0.0003	-105.7839	1.3602
1.6000	0.0000	0.0000	0.0002	0.0000	-48.3939	3.8058
1.6100	0.0000	0.0000	-0.0001	0.0002	-42.6128	61.5302
1.6200	0.0000	0.0000	-0.0004	0.0001	12.0146	84.8570
1.6300	0.0000	0.0000	0.0004	0.0003	-112.5988	11.9487
1.6400	0.0000	0.0000	-0.0002	0.0006	-75.8885	125.1623
1.6510	0.0000	0.0000	-0.0002	-0.0003	30.9119	3.3956
1.6600	0.0000	0.0000	-0.0002	-0.0001	13.2928	39.6401
1.6700	0.0000	0.0000	0.0000	-0.0007	58.9002	-63.0758
1.6810	0.0000	0.0000	0.0001	-0.0002	-9.6229	-3.6926
1.6900	0.0000	0.0000	0.0001	-0.0004	15.4474	-22.1811
1.7010	0.0000	0.0000	0.0002	0.0000	-50.8218	4.4541
1.7120	0.0000	0.0000	0.0000	-0.0001	-21.8789	16.2151
1.7200	0.0000	0.0000	-0.0001	0.0003	-36.3442	74.8744
1.7310	0.0000	0.0000	-0.0002	-0.0001	12.5976	38.2916
1.7400	0.0000	0.0000	-0.0004	0.0012	-130.7952	219.9515
1.7510	0.0000	0.0000	0.0004	-0.0003	-42.5365	-58.6013
1.7600	0.0000	0.0000	-0.0006	0.0003	9.4495	134.6578
1.7710	0.0000	0.0000	0.0001	0.0002	-63.7151	38.0686
1.7800	0.0000	0.0000	0.0005	0.0004	-134.1484	21.1157
1.7910	0.0000	0.0000	-0.0003	-0.0005	64.4357	6.5231
1.8000	0.0000	0.0000	-0.0000	-0.0001	-5.6093	13.3276
1.8100	0.0000	0.0000	-0.0003	-0.0001	34.6367	50.6570
1.8230	0.0000	0.0000	-0.0002	-0.0005	75.0851	-15.2829
1.8320	0.0000	0.0000	-0.0001	0.0004	-63.6006	86.6256
1.8420	0.0000	0.0000	-0.0003	0.0001	7.3387	69.1604
1.8510	0.0000	0.0000	0.0002	-0.0006	25.0226	-72.0664
1.8600	0.0000	0.0000	-0.0002	0.0001	-14.4597	58.2779
1.8710	0.0000	0.0000	0.0002	0.0004	-104.0309	42.7693
1.8830	0.0000	0.0000	0.0003	0.0004	-104.2701	30.0619
1.8920	0.0000	0.0000	-0.0001	0.0002	-28.0170	59.8875
1.9000	0.0000	0.0000	0.0005	0.0001	-99.4909	-8.6351
1.9110	0.0000	0.0000	-0.0001	-0.0003	17.9405	11.5050
1.9200	0.0000	0.0000	0.0002	0.0008	-155.9728	96.1891
1.9300	0.0000	0.0000	0.0002	-0.0001	-39.4617	-4.3934
1.9410	0.0000	0.0000	-0.0002	0.0003	-35.6320	86.9888
1.9510	0.0000	0.0000	-0.0003	-0.0003	28.5874	15.8970
1.9610	0.0000	0.0000	-0.0002	-0.0004	47.6882	2.9413
1.9710	0.0000	0.0000	0.0001	-0.0008	63.8047	-84.1592
1.9810	0.0000	0.0000	0.0007	0.0009	-220.0128	55.6516
1.9900	0.0000	0.0000	-0.0002	0.0003	-44.5464	93.4676
2.0010	0.0000	0.0000	0.0002	-0.0009	67.7710	-108.9801
2.0110	0.0000	0.0000	-0.0000	-0.0004	37.9038	-26.6475
2.0210	0.0000	0.0000	-0.0001	-0.0004	20.7114	-14.2607
2.0310	0.0000	0.0000	-0.0002	0.0003	-46.6003	82.8866
2.0410	0.0000	0.0000	0.0003	0.0002	-87.8796	31.4719
2.0510	0.0000	0.0000	0.0001	0.0001	-43.4050	19.3945
2.0600	0.0000	0.0000	-0.0004	0.0004	-22.5414	123.7213
2.0710	0.0000	0.0000	-0.0004	0.0001	18.8588	91.3237
2.0810	0.0000	0.0000	-0.0004	-0.0000	20.9322	73.3809
2.0900	0.0000	0.0000	-0.0006	-0.0005	104.7142	33.1368
2.1000	0.0000	0.0000	-0.0001	0.0001	-22.7531	67.0175
2.1100	0.0000	0.0000	0.0005	-0.0001	-72.6549	-51.0382
2.1210	0.0000	0.0000	-0.0001	0.0005	-86.1673	112.1323
2.1300	0.0000	0.0000	0.0002	0.0004	-97.7125	60.0256
2.1410	0.0000	0.0000	0.0002	0.0006	-122.7250	81.2894
2.1500	0.0000	0.0000	-0.0004	0.0002	-11.0163	95.5789
2.1630	0.0000	0.0000	-0.0001	-0.0003	12.6256	8.4791
2.1730	0.0000	0.0000	-0.0000	0.0000	-26.5115	28.6422
2.1810	0.5000	0.0000	0.2787	-0.0404	31665.7239	21604.2874
2.1910	0.5000	0.0000	0.2994	-0.0083	25008.9548	23653.5328
2.2010	0.5000	0.0000	0.2566	-0.0314	33965.1530	26465.5381
2.2110	0.5000	0.0000	0.2743	-0.0330	31783.3513	23819.5051
2.2210	0.5000	0.0000	0.2730	0.0060	27471.8337	29036.0178
2.2300	0.5000	0.0000	0.2938	0.0055	25346.5003	26468.1199
2.2400	0.5000	0.0000	0.3355	0.0114	19789.3233	22358.3427
2.2520	0.5000	0.0000	0.3743	0.0119	15219.6227	17934.5669
2.2610	0.5000	0.0000	0.4090	0.0175	10441.4329	14515.1629
2.2700	0.5000	0.0000	0.4326	0.0195	7442.9855	12031.8327
2.2800	0.5000	0.0000	0.4569	0.0238	4037.6469	9642.5825
2.2900	0.5000	0.0000	0.4783	0.0308	685.5854	8078.2616
2.3000	0.5000	0.0000	0.4951	0.0324	-1610.9167	6265.0604
2.3100	0.5000	0.0000	0.5138	0.0446	-5383.9517	5521.4191
2.3200	0.5000	0.0000	0.5288	0.0365	-6163.3097	2659.5773
2.3300	0.5000	0.0000	0.5414	0.0386	-8153.9502	1534.7275
2.3400	0.5000	0.0000	0.5471	0.0336	-8150.6303	203.1148
2.3500	0.5000	0.0000	0.5603	0.0255	-8956.2617	-2423.2805
2.3610	0.5000	0.0000	0.5634	0.0231	-9042.9820	-2977.1136
2.3700	0.5000	0.0000	0.5740	0.0190	-9898.0313	-4919.1086
2.3800	0.5000	0.0000	0.5697	0.0133	-8795.6107	-5045.4088
2.3930	0.5000	0.0000	0.5638	0.0098	-7758.5407	-4785.4703
2.4000	0.5000	0.0000	0.5600	0.0043	-6661.1260	-5092.7543
2.4110	0.5000	0.0000	0.5580	0.0031	-6353.0048	-5013.4956
2.4210	0.5000	0.0000	0.5519	0.0004	-5353.9604	-4650.0070
2.4320	0.5000	0.0000	0.5392	-0.0005	-3757.4819	-3284.6620
2.4370	0.5000	0.0000	0.5303	-0.0001	-2774.1171	-2195.7820
2.4500	0.5000	0.0000	0.5245	-0.0003	-2068.6198	-1556.2993
2.4610	0.5000	0.0000	0.5202	0.0005	-1680.3923	-962.4697
2.4710	0.5000	0.0000	0.5170	0.0010	-1379.3257	-528.4528
2.4800	0.5000	0.0000	0.5144	-0.0001	-942.4027	-380.8819
2.4920	0.5000	0.0000	0.5131	-0.0005	-751.8427	-275.0068
2.5000	0.5000	0.0000	0.5116	-0.0003	-600.0214	-77.3387
2.5110	0.5000	0.0000	0.5106	-0.0002	-511.1106	37.3088
2.5210	0.5000	0.0000	0.5102	0.0003	-540.7378	142.8717
2.5310	0.5000	0.0000	0.5096	0.0003	-473.5132	193.0753
2.5400	0.5000	0.0000	0.5098	-0.0003	-427.0958	96.1466
2.5500	0.5000	0.0000	0.5093	-0.0003	-374.4522	149.5331
2.5600	0.5000	0.0000	0.5091	0.0008	-497.4460	305.9452
2.5700	0.5000	0.0000	0.5092	0.0005	-478.1523	235.2592
2.5810	0.5000	0.0000	0.5093	-0.0005	-367.6472	97.0355
2.5910	0.5000	0.0000	0.5088	-0.0002	-357.9853	175.5987
2.6000	0.5000	0.0000	0.5082	-0.0002	-292.3759	236.6461
2.6100	0.5000	0.0000	0.5085	-0.0003	-324.9042	191.8868
2.6220	0.5000	0.0000	0.5081	0.0000	-325.4442	272.7790
2.6310	0.5000	0.0000	0.5091	-0.0003	-416.8560	107.4633
2.6410	0.5000	0.0000	0.5085	0.0011	-504.2452	334.0222
2.6500	0.5000	0.0000	0.5080	0.0010	-457.3284	385.4243
2.6610	0.5000	0.0000	0.5076	0.0002	-326.6169	339.2825
2.6700	0.5000	0.0000	0.5077	0.0002	-341.5782	312.9352
2.6810	0.5000	0.0000	0.5084	0.0005	-468.5362	244.2783
2.6910	0.5000	0.0000	0.5075	0.0006	-379.8866	370.1641
2.7000	0.5000	0.0000	0.5078	-0.0007	-260.3879	156.9761
2.7100	0.5000	0.0000	0.5074	-0.0010	-178.3858	172.2360
2.7200	0.5000	0.0000	0.5071	-0.0007	-188.4096	229.2194
2.7320	0.5000	0.0000	0.5077	-0.0003	-314.5328	211.4306
2.7400	0.5000	0.0000	0.5070	-0.0004	-229.1822	269.8061
2.7540	0.5000	0.0000	0.5074	-0.0003	-284.7751	231.4088
2.7600	0.5000	0.0000	0.5072	0.0002	-337.5433	302.8219
