t	x_odom	y_odom	th_odom
0.0000	-0.0000	-2.0000	0.0006
0.0110	-0.0000	-2.0000	0.0006
0.0230	-0.0000	-2.0000	0.0006
0.0350	-0.0000	-2.0000	0.0006
0.0460	0.0000	-2.0000	0.0006
0.0980	-0.0000	-2.0000	0.0006
0.0980	-0.0000	-2.0000	0.0006
0.0980	-0.0000	-2.0000	0.0006
0.0980	-0.0000	-2.0000	0.0006
0.1540	-0.0000	-2.0000	0.0006
0.1540	0.0000	-2.0000	0.0006
0.1540	0.0000	-2.0000	0.0006
0.1540	0.0000	-2.0000	0.0007
0.1540	0.0000	-2.0000	0.0007
0.1540	0.0000	-2.0000	0.0007
0.2180	-0.0000	-2.0000	0.0007
0.2180	-0.0000	-2.0000	0.0007
0.2180	-0.0000	-2.0000	0.0007
0.2180	-0.0000	-2.0000	0.0007
0.2180	-0.0000	-2.0000	0.0007
0.2210	-0.0000	-2.0000	0.0007
0.2310	-0.0000	-2.0000	0.0007
0.2740	-0.0000	-2.0000	0.0007
0.3210	-0.0000	-2.0000	0.0007
0.3210	-0.0000	-2.0000	0.0007
0.3210	-0.0000	-2.0000	0.0007
0.3210	-0.0000	-2.0000	0.0007
0.3210	-0.0000	-2.0000	0.0007
0.3830	-0.0000	-2.0000	0.0007
0.3830	-0.0000	-2.0000	0.0007
0.4430	-0.0000	-2.0000	0.0007
0.4430	-0.0000	-2.0000	0.0007
0.4430	-0.0000	-2.0000	0.0007
0.4430	-0.0000	-2.0000	0.0007
0.5000	-0.0000	-2.0000	0.0007
0.5060	0.0000	-2.0000	0.0007
0.5170	0.0000	-2.0000	0.0007
0.5730	-0.0000	-2.0000	0.0006
0.5730	-0.0000	-2.0000	0.0006
0.6300	-0.0000	-2.0000	0.0006
0.6300	-0.0000	-2.0000	0.0006
0.6300	-0.0000	-2.0000	0.0006
0.6300	-0.0000	-2.0000	0.0006
0.6300	-0.0000	-2.0000	0.0006
0.6860	-0.0000	-2.0000	0.0006
0.6860	-0.0000	-2.0000	0.0006
0.6860	-0.0000	-2.0000	0.0006
0.6860	-0.0000	-2.0000	0.0006
0.6860	-0.0000	-2.0000	0.0006
0.7370	-0.0000	-2.0000	0.0006
0.7370	-0.0000	-2.0000	0.0006
0.7370	-0.0000	-2.0000	0.0006
0.7370	-0.0000	-2.0000	0.0006
0.7370	-0.0000	-2.0000	0.0006
0.7830	0.0000	-2.0000	0.0006
