t	x_ekf	y_ekf	th_ekf
-0.0000	0.0001	-2.0000	0.0002
0.0660	0.0001	-2.0000	0.0002
0.0990	0.0001	-2.0000	0.0002
0.1670	0.0001	-2.0000	0.0002
0.2330	0.0001	-2.0000	0.0002
0.2670	0.0001	-2.0000	0.0003
0.3000	0.0001	-2.0000	0.0002
0.3330	0.0001	-2.0000	0.0002
0.4000	0.0001	-2.0000	0.0003
0.4330	0.0001	-2.0000	0.0003
0.4660	0.0001	-2.0000	0.0003
0.5310	0.0001	-2.0000	0.0003
0.5680	0.0001	-2.0000	0.0002
0.6020	0.0001	-2.0000	0.0002
0.6330	0.0001	-2.0000	0.0002
0.6990	0.0001	-2.0000	0.0002
0.7330	0.0001	-2.0000	0.0002
0.8000	0.0001	-2.0000	0.0002
0.8310	0.0001	-2.0000	0.0003
0.8930	0.0001	-2.0000	0.0002
0.9280	0.0001	-2.0000	0.0002
0.9670	0.0001	-2.0000	0.0002
1.0330	0.0001	-2.0000	0.0002
1.0680	0.0001	-2.0000	0.0002
1.0970	0.0001	-2.0000	0.0003
1.1320	0.0001	-2.0000	0.0002
1.1970	0.0001	-2.0000	0.0003
1.2320	0.0001	-2.0000	0.0003
1.2670	0.0001	-2.0000	0.0003
1.3010	0.0001	-2.0000	0.0003
1.3670	0.0001	-2.0000	0.0003
1.4000	0.0001	-2.0000	0.0003
1.4330	0.0001	-2.0000	0.0003
1.5000	0.0001	-2.0000	0.0003
1.5670	0.0001	-2.0000	0.0003
1.5970	0.0001	-2.0000	0.0003
1.6650	0.0001	-2.0000	0.0003
1.7340	0.0001	-2.0000	0.0003
1.8000	0.0001	-2.0000	0.0003
1.8660	0.0001	-2.0000	0.0003
1.9000	0.0001	-2.0000	0.0003
1.9670	0.0001	-2.0000	0.0003
2.0340	0.0061	-2.0000	0.0003
2.0990	0.0268	-2.0000	0.0009
2.1330	0.0471	-2.0000	0.0021
2.2000	0.0767	-1.9999	0.0040
2.2320	0.1016	-1.9998	0.0046
2.3010	0.1313	-1.9996	0.0046
2.3650	0.1652	-1.9995	0.0046
2.4310	0.1876	-1.9994	0.0047
2.4670	0.2212	-1.9992	0.0047
2.5310	0.2547	-1.9991	0.0047
2.5650	0.2603	-1.9990	0.0047
2.5980	0.2770	-1.9990	0.0047
2.6660	0.3105	-1.9988	0.0047
2.6980	0.3384	-1.9987	0.0046
2.7320	0.3440	-1.9986	0.0046
2.7680	0.3718	-1.9985	0.0046
2.8290	0.3996	-1.9984	0.0046
2.9010	0.4330	-1.9982	0.0046
2.9670	0.4720	-1.9981	0.0046
3.0330	0.4998	-1.9979	0.0046
3.0680	0.5275	-1.9978	0.0046
3.0980	0.5331	-1.9978	0.0046
3.1330	0.5553	-1.9977	0.0046
3.1660	0.5775	-1.9976	0.0046
3.2330	0.5997	-1.9975	0.0046
3.2660	0.6219	-1.9974	0.0046
3.3320	0.6441	-1.9973	0.0046
3.3670	0.6718	-1.9971	0.0046
3.4010	0.6940	-1.9970	0.0046
3.4330	0.7051	-1.9970	0.0046
3.4670	0.7217	-1.9969	0.0046
3.4990	0.7439	-1.9968	0.0046
3.5650	0.7660	-1.9967	0.0046
3.5990	0.7937	-1.9966	0.0046
3.6650	0.8214	-1.9964	0.0046
3.7330	0.8491	-1.9963	0.0046
3.7670	0.8823	-1.9962	0.0046
3.8310	0.9044	-1.9960	0.0046
3.8670	0.9320	-1.9959	0.0046
3.9340	0.9652	-1.9958	0.0046
4.0000	0.9873	-1.9957	0.0046
4.0330	1.0094	-1.9956	0.0046
4.0660	1.0315	-1.9955	0.0046
4.1320	1.0536	-1.9954	0.0046
4.1630	1.0757	-1.9953	0.0046
4.2250	1.1033	-1.9951	0.0046
4.2670	1.1310	-1.9950	0.0046
4.3330	1.1586	-1.9949	0.0046
4.3680	1.1806	-1.9948	0.0046
4.3970	1.1917	-1.9947	0.0046
4.4330	1.2138	-1.9946	0.0046
4.5000	1.2358	-1.9945	0.0046
4.5330	1.2634	-1.9944	0.0046
4.5990	1.2965	-1.9942	0.0046
4.6650	1.3186	-1.9941	0.0046
4.6980	1.3407	-1.9940	0.0046
4.7670	1.3682	-1.9939	0.0046
4.8000	1.4013	-1.9938	0.0046
4.8680	1.4234	-1.9937	0.0046
4.9000	1.4454	-1.9936	0.0046
4.9660	1.4675	-1.9935	0.0046
4.9980	1.4950	-1.9933	0.0046
5.0670	1.5226	-1.9932	0.0046
5.1350	1.5502	-1.9931	0.0046
5.1660	1.5832	-1.9929	0.0046
5.2320	1.6163	-1.9928	0.0046
5.2670	1.6218	-1.9928	0.0046
5.3000	1.6383	-1.9927	0.0046
5.3330	1.6604	-1.9926	0.0046
5.3990	1.6879	-1.9925	0.0046
5.4310	1.7155	-1.9923	0.0046
5.5010	1.7485	-1.9922	0.0046
5.5650	1.7706	-1.9921	0.0045
5.6010	1.7981	-1.9919	0.0045
5.6660	1.8256	-1.9918	0.0045
5.7310	1.8532	-1.9917	0.0045
5.7670	1.8807	-1.9916	0.0045
5.8330	1.9138	-1.9914	0.0045
5.8670	1.9303	-1.9914	0.0045
5.9330	1.9578	-1.9912	0.0045
5.9660	1.9853	-1.9911	0.0045
5.9990	1.9908	-1.9911	0.0045
6.0330	2.0129	-1.9910	0.0045
6.1000	2.0404	-1.9909	0.0045
6.1330	2.0679	-1.9907	0.0045
6.1670	2.0734	-1.9907	0.0045
6.2010	2.0954	-1.9906	0.0045
6.2660	2.1230	-1.9905	0.0045
6.2950	2.1450	-1.9904	0.0045
6.3320	2.1560	-1.9903	0.0045
6.3690	2.1835	-1.9902	0.0045
6.4310	2.2110	-1.9901	0.0045
6.4980	2.2385	-1.9900	0.0045
6.5330	2.2661	-1.9898	0.0045
6.6010	2.2936	-1.9897	0.0045
6.6660	2.3211	-1.9896	0.0045
