t	x_truth	y_truth	th_truth
-0.0000	-0.0003	-2.0003	0.0006
0.0090	-0.0003	-2.0003	0.0006
0.0220	-0.0003	-2.0003	0.0006
0.0290	-0.0003	-2.0003	0.0006
0.0390	-0.0003	-2.0003	0.0006
0.0930	-0.0003	-2.0003	0.0006
0.0930	-0.0003	-2.0003	0.0006
0.1540	-0.0003	-2.0003	0.0006
0.1540	-0.0003	-2.0003	0.0006
0.2100	-0.0003	-2.0003	0.0006
0.2100	-0.0003	-2.0003	0.0006
0.2100	-0.0003	-2.0003	0.0006
0.2720	-0.0003	-2.0003	0.0006
0.2720	-0.0003	-2.0003	0.0006
0.2720	-0.0003	-2.0003	0.0006
0.2720	-0.0003	-2.0003	0.0006
0.3310	-0.0003	-2.0003	0.0006
0.3870	-0.0003	-2.0003	0.0006
0.3870	-0.0003	-2.0003	0.0006
0.3890	-0.0003	-2.0003	0.0006
0.3990	-0.0003	-2.0003	0.0006
0.4500	-0.0003	-2.0003	0.0006
0.5010	-0.0003	-2.0003	0.0006
0.5010	-0.0003	-2.0003	0.0006
0.5010	-0.0003	-2.0003	0.0006
0.5430	-0.0003	-2.0003	0.0006
0.5430	-0.0003	-2.0003	0.0006
0.5500	-0.0003	-2.0003	0.0006
0.5710	-0.0003	-2.0003	0.0006
0.6290	-0.0003	-2.0003	0.0006
0.6780	-0.0003	-2.0003	0.0006
0.6780	-0.0003	-2.0003	0.0006
0.6780	-0.0003	-2.0003	0.0006
0.6780	-0.0003	-2.0003	0.0006
0.6810	-0.0003	-2.0003	0.0006
0.6890	-0.0003	-2.0003	0.0006
0.7480	-0.0003	-2.0003	0.0006
0.7480	-0.0003	-2.0003	0.0006
0.7480	-0.0003	-2.0003	0.0006
0.7480	-0.0003	-2.0003	0.0006
0.7940	-0.0003	-2.0003	0.0006
0.7940	-0.0003	-2.0003	0.0006
0.7940	-0.0003	-2.0003	0.0006
0.7940	-0.0003	-2.0003	0.0006
0.8530	-0.0003	-2.0003	0.0006
0.8530	-0.0003	-2.0003	0.0006
0.8530	-0.0003	-2.0003	0.0006
0.9110	-0.0003	-2.0003	0.0006
0.9110	-0.0003	-2.0003	0.0006
0.9660	-0.0003	-2.0003	0.0006
0.9660	-0.0003	-2.0003	0.0006
0.9660	-0.0003	-2.0003	0.0006
0.9660	-0.0003	-2.0003	0.0006
0.9660	-0.0003	-2.0003	0.0006
0.9700	-0.0003	-2.0003	0.0006
0.9800	-0.0003	-2.0003	0.0006
1.0270	-0.0003	-2.0003	0.0006
1.0270	-0.0003	-2.0003	0.0006
1.0920	-0.0003	-2.0003	0.0006
1.0920	-0.0003	-2.0003	0.0006
1.0920	-0.0003	-2.0003	0.0006
1.0920	-0.0003	-2.0003	0.0006
1.1520	-0.0003	-2.0003	0.0006
1.1520	-0.0003	-2.0003	0.0006
1.1520	-0.0003	-2.0003	0.0006
1.1600	-0.0003	-2.0003	0.0006
1.1690	-0.0003	-2.0003	0.0006
1.2170	-0.0003	-2.0003	0.0006
1.2170	-0.0003	-2.0003	0.0006
1.2620	-0.0003	-2.0003	0.0006
1.2620	-0.0003	-2.0003	0.0006
1.2620	-0.0003	-2.0003	0.0006
1.2620	-0.0003	-2.0003	0.0006
1.2620	-0.0003	-2.0003	0.0006
1.3160	-0.0003	-2.0003	0.0006
1.3160	-0.0003	-2.0003	0.0006
1.3160	-0.0003	-2.0003	0.0006
1.3160	-0.0003	-2.0003	0.0006
1.3160	-0.0003	-2.0003	0.0006
1.3730	-0.0003	-2.0003	0.0006
1.3730	-0.0003	-2.0003	0.0006
1.4270	-0.0003	-2.0003	0.0006
1.4270	-0.0003	-2.0003	0.0006
1.4270	-0.0003	-2.0003	0.0006
1.4310	-0.0003	-2.0003	0.0006
1.4390	-0.0003	-2.0003	0.0006
1.4840	-0.0003	-2.0003	0.0006
1.4840	-0.0003	-2.0003	0.0006
1.4840	-0.0003	-2.0003	0.0006
1.4840	-0.0003	-2.0003	0.0006
1.5350	-0.0003	-2.0003	0.0006
1.5350	-0.0003	-2.0003	0.0006
1.5350	-0.0003	-2.0003	0.0006
1.5350	-0.0003	-2.0003	0.0006
1.5350	-0.0003	-2.0003	0.0006
1.5850	-0.0003	-2.0003	0.0006
1.5850	-0.0003	-2.0003	0.0006
1.5850	-0.0003	-2.0003	0.0006
1.5850	-0.0003	-2.0003	0.0006
1.5850	-0.0003	-2.0003	0.0006
1.6360	-0.0003	-2.0003	0.0006
1.6360	-0.0003	-2.0003	0.0006
1.6360	-0.0003	-2.0003	0.0006
1.6360	-0.0003	-2.0003	0.0006
1.6360	-0.0003	-2.0003	0.0006
1.6910	-0.0003	-2.0003	0.0006
1.6910	-0.0003	-2.0003	0.0006
1.6910	-0.0003	-2.0003	0.0006
1.7440	-0.0003	-2.0003	0.0006
1.7440	-0.0003	-2.0003	0.0006
1.7440	-0.0003	-2.0003	0.0006
1.7500	-0.0003	-2.0003	0.0006
1.7590	-0.0003	-2.0003	0.0006
1.8110	-0.0003	-2.0003	0.0006
1.8110	-0.0003	-2.0003	0.0006
1.8680	-0.0003	-2.0003	0.0006
1.8680	-0.0003	-2.0003	0.0006
1.9280	-0.0003	-2.0003	0.0006
1.9280	-0.0003	-2.0003	0.0006
1.9850	-0.0003	-2.0003	0.0006
1.9850	-0.0003	-2.0003	0.0006
1.9850	-0.0003	-2.0003	0.0006
1.9850	-0.0003	-2.0003	0.0006
1.9850	-0.0003	-2.0003	0.0006
1.9850	-0.0003	-2.0003	0.0006
2.0440	-0.0003	-2.0003	0.0006
2.0920	-0.0003	-2.0003	0.0006
2.0920	-0.0003	-2.0003	0.0006
2.0920	-0.0003	-2.0003	0.0006
2.0920	-0.0003	-2.0003	0.0006
2.0920	-0.0003	-2.0003	0.0006
2.0990	-0.0003	-2.0003	0.0006
2.1090	-0.0003	-2.0003	0.0006
2.1530	-0.0003	-2.0003	0.0006
2.1530	-0.0003	-2.0003	0.0006
2.1530	-0.0003	-2.0003	0.0006
2.2090	-0.0003	-2.0003	0.0006
2.2090	-0.0003	-2.0003	0.0006
2.2090	-0.0003	-2.0003	0.0006
2.2090	-0.0003	-2.0003	0.0006
2.2090	-0.0003	-2.0003	0.0006
2.2090	-0.0003	-2.0003	0.0006
2.2570	-0.0003	-2.0003	0.0006
2.2570	-0.0003	-2.0003	0.0006
2.2570	-0.0003	-2.0003	0.0006
2.2570	-0.0003	-2.0003	0.0006
2.2580	-0.0003	-2.0003	0.0006
2.2730	-0.0003	-2.0003	0.0006
2.3250	-0.0003	-2.0003	0.0006
2.3250	0.0002	-2.0002	0.0006
2.3730	0.0059	-1.9998	0.0009
2.4190	0.0077	-1.9996	0.0010
2.4190	0.0099	-1.9995	0.0011
2.4190	0.0122	-1.9992	0.0012
2.4190	0.0177	-1.9987	0.0016
2.4670	0.0315	-1.9966	0.0028
2.4670	0.0356	-1.9959	0.0033
2.4800	0.0399	-1.9951	0.0038
2.5310	0.0543	-1.9923	0.0055
2.5310	0.0651	-1.9902	0.0068
2.5790	0.0831	-1.9865	0.0091
2.5790	0.0963	-1.9838	0.0108
2.6340	0.1179	-1.9792	0.0136
2.6340	0.1335	-1.9758	0.0156
