q1	q2	q3	q4	q1d	q2d	q3d	q4d	q1dd	q2dd	q3dd	q4dd	tau1	tau2	tau2	tau4
-0.0018	0.2224	-0.4034	0.0044	0.0027	0.0682	0.2895	-0.0056	-0.0060	-0.1220	-0.3934	-0.0154	-1287.7104	133499.5656	573.9577	-4317.3333
-0.0017	0.2232	-0.3999	0.0044	0.0024	0.0667	0.2848	-0.0056	-0.0228	-0.1278	-0.3917	0.0004	-1183.7013	133411.8960	697.8900	-4307.0316
-0.0017	0.2238	-0.3976	0.0043	0.0023	0.0658	0.2816	-0.0055	-0.0044	-0.1061	-0.3984	0.0026	-1022.1449	133416.5337	772.7195	-4297.3802
-0.0017	0.2244	-0.3949	0.0043	0.0022	0.0645	0.2779	-0.0055	-0.0134	-0.1305	-0.3705	0.0046	-989.6612	133402.9614	852.4302	-4266.2014
-0.0017	0.2250	-0.3921	0.0042	0.0021	0.0634	0.2740	-0.0054	-0.0139	-0.1060	-0.3868	0.0095	-873.1974	133462.6728	939.6429	-4274.3026
-0.0016	0.2257	-0.3894	0.0042	0.0021	0.0622	0.2704	-0.0055	-0.0013	-0.1261	-0.3599	-0.0114	-874.9338	133491.3544	1024.3000	-4255.9376
-0.0016	0.2263	-0.3864	0.0041	0.0020	0.0610	0.2664	-0.0055	-0.0077	-0.1112	-0.3661	-0.0019	-773.9638	133441.0786	1118.4415	-4252.1076
-0.0016	0.2269	-0.3840	0.0040	0.0018	0.0600	0.2631	-0.0055	-0.0168	-0.1062	-0.3618	0.0030	-663.2213	133536.4745	1192.1684	-4246.6251
-0.0016	0.2275	-0.3814	0.0040	0.0018	0.0588	0.2596	-0.0055	0.0008	-0.1181	-0.3563	0.0044	-634.8420	133688.9796	1274.0373	-4254.5745
-0.0016	0.2281	-0.3789	0.0039	0.0018	0.0577	0.2561	-0.0054	0.0009	-0.1116	-0.3464	0.0024	-411.0554	133645.3809	1332.1874	-4210.0715
-0.0015	0.2287	-0.3761	0.0039	0.0017	0.0565	0.2522	-0.0054	-0.0117	-0.1099	-0.3504	0.0050	-463.8471	133824.0826	1427.6092	-4220.5159
-0.0015	0.2292	-0.3738	0.0038	0.0017	0.0556	0.2491	-0.0053	0.0015	-0.0977	-0.3493	0.0052	-468.7996	133822.8703	1500.6234	-4217.2698
-0.0015	0.2297	-0.3713	0.0038	0.0017	0.0545	0.2458	-0.0054	-0.0065	-0.1112	-0.3346	-0.0024	-393.0258	133967.3862	1568.7333	-4205.6802
-0.0015	0.2304	-0.3682	0.0037	0.0016	0.0531	0.2414	-0.0053	-0.0080	-0.1101	-0.3332	0.0039	-325.6189	134054.0382	1677.9580	-4212.0697
-0.0015	0.2308	-0.3665	0.0037	0.0016	0.0548	0.2378	-0.0059	0.0071	0.2493	-0.5130	-0.0784	-312.5735	131283.4558	2021.5730	-4196.2000
-0.0015	0.2314	-0.3641	0.0036	0.0014	0.0533	0.2352	-0.0057	-0.0182	-0.1494	-0.2634	0.0174	-267.9841	132169.1171	1924.0405	-4115.8754
-0.0014	0.2320	-0.3611	0.0035	0.0014	0.0516	0.2315	-0.0056	-0.0010	-0.1322	-0.2858	0.0050	-237.6244	132846.4622	1927.8879	-4108.9133
-0.0014	0.2324	-0.3595	0.0035	0.0014	0.0509	0.2293	-0.0054	-0.0034	-0.1039	-0.3157	0.0247	-198.4743	132779.7567	1979.1509	-4144.4681
-0.0014	0.2329	-0.3572	0.0034	0.0014	0.0495	0.2265	-0.0056	-0.0012	-0.1358	-0.2819	-0.0177	-257.6081	133285.8537	2000.0984	-4108.8359
-0.0014	0.2334	-0.3550	0.0034	0.0013	0.0485	0.2233	-0.0054	-0.0064	-0.1054	-0.3115	0.0247	-253.8286	133641.4137	2053.4913	-4121.7097
