t	x	y	z	p	xd	yd	zd	pd	xdd	ydd	zdd	pdd
0.9690	5.7825	-0.3477	1.7346	-0.2657	0.0820	-0.0051	-0.1047	0.0379	11.7177	-0.7273	-14.9580	5.4118
0.9790	5.7831	-0.3477	1.7339	-0.2654	0.0575	-0.0034	-0.0737	0.0266	5.7476	-0.3389	-7.3653	2.6573
1.0110	5.7848	-0.3478	1.7317	-0.2646	0.0538	-0.0033	-0.0687	0.0250	1.6817	-0.1045	-2.1468	0.7823
1.0390	5.7860	-0.3479	1.7302	-0.2641	0.0406	-0.0027	-0.0521	0.0192	1.4514	-0.0968	-1.8624	0.6863
1.0720	5.7877	-0.3480	1.7280	-0.2633	0.0346	-0.0024	-0.0447	0.0164	1.0499	-0.0727	-1.3556	0.4959
1.1040	5.7894	-0.3481	1.7258	-0.2625	0.0350	-0.0016	-0.0452	0.0170	1.0928	-0.0504	-1.4115	0.5299
1.1330	5.7905	-0.3482	1.7244	-0.2619	0.0193	-0.0016	-0.0255	0.0094	0.6660	-0.0562	-0.8806	0.3230
1.1610	5.7927	-0.3483	1.7214	-0.2608	0.0411	-0.0015	-0.0543	0.0204	1.4669	-0.0538	-1.9397	0.7302
1.1940	5.7943	-0.3484	1.7193	-0.2600	0.0326	-0.0017	-0.0437	0.0165	0.9892	-0.0505	-1.3257	0.5006
1.2270	5.7959	-0.3485	1.7172	-0.2592	0.0317	-0.0025	-0.0427	0.0164	0.9597	-0.0743	-1.2926	0.4975
1.2600	5.7969	-0.3486	1.7158	-0.2587	0.0156	-0.0010	-0.0211	0.0082	0.4742	-0.0293	-0.6393	0.2487
1.2930	5.7999	-0.3488	1.7116	-0.2571	0.0450	-0.0023	-0.0618	0.0242	1.3639	-0.0697	-1.8714	0.7348
1.2990	5.8004	-0.3488	1.7110	-0.2568	0.0804	-0.0081	-0.1117	0.0444	13.3933	-1.3476	-18.6120	7.3941
1.3090	5.8009	-0.3488	1.7103	-0.2565	0.0476	-0.0035	-0.0671	0.0264	4.7565	-0.3507	-6.7080	2.6445
1.3400	5.8014	-0.3489	1.7096	-0.2563	0.0152	-0.0006	-0.0213	0.0085	0.4900	-0.0206	-0.6857	0.2740
1.3730	5.8036	-0.3490	1.7064	-0.2550	0.0403	-0.0027	-0.0586	0.0236	1.2227	-0.0814	-1.7766	0.7143
1.4000	5.8050	-0.3491	1.7044	-0.2542	0.0491	-0.0024	-0.0722	0.0292	1.8196	-0.0884	-2.6723	1.0830
1.4340	5.8057	-0.3491	1.7033	-0.2537	0.0230	-0.0015	-0.0342	0.0140	0.6772	-0.0453	-1.0057	0.4125
1.4630	5.8069	-0.3492	1.7015	-0.2530	0.0262	-0.0018	-0.0402	0.0171	0.9050	-0.0635	-1.3869	0.5882
1.4970	5.8080	-0.3494	1.6998	-0.2522	0.0213	-0.0024	-0.0335	0.0142	0.6258	-0.0701	-0.9851	0.4170
1.5300	5.8090	-0.3495	1.6981	-0.2515	0.0204	-0.0022	-0.0330	0.0142	0.6192	-0.0673	-1.0011	0.4307
1.5590	5.8100	-0.3495	1.6965	-0.2508	0.0106	-0.0009	-0.0180	0.0079	0.3669	-0.0312	-0.6201	0.2708
1.5700	5.8109	-0.3496	1.6949	-0.2501	0.0282	-0.0037	-0.0494	0.0220	2.5602	-0.3382	-4.4882	1.9994
1.6000	5.8114	-0.3497	1.6940	-0.2497	0.0165	-0.0024	-0.0304	0.0138	0.5488	-0.0802	-1.0130	0.4610
1.6330	5.8121	-0.3498	1.6927	-0.2491	0.0140	-0.0020	-0.0269	0.0127	0.4231	-0.0605	-0.8153	0.3844
1.6660	5.8127	-0.3499	1.6914	-0.2485	0.0128	-0.0019	-0.0267	0.0128	0.3885	-0.0569	-0.8098	0.3892
1.6980	5.8132	-0.3500	1.6902	-0.2479	0.0107	-0.0020	-0.0245	0.0120	0.3337	-0.0628	-0.7668	0.3762
1.7310	5.8136	-0.3501	1.6891	-0.2473	0.0081	-0.0017	-0.0219	0.0111	0.2468	-0.0507	-0.6626	0.3367
1.7440	5.8139	-0.3502	1.6881	-0.2468	0.0072	-0.0028	-0.0259	0.0145	0.5544	-0.2188	-1.9953	1.1159
1.7490	5.8140	-0.3503	1.6879	-0.2466	0.0132	-0.0055	-0.0533	0.0305	2.6499	-1.0947	-10.6675	6.0916
1.7790	5.8141	-0.3503	1.6873	-0.2463	0.0037	-0.0023	-0.0185	0.0110	0.1225	-0.0755	-0.6183	0.3653
1.8120	5.8142	-0.3504	1.6866	-0.2459	0.0010	-0.0018	-0.0140	0.0093	0.0294	-0.0541	-0.4254	0.2817
1.8450	5.8142	-0.3505	1.6862	-0.2456	-0.0003	-0.0009	-0.0066	0.0044	-0.0095	-0.0273	-0.1999	0.1322
1.8760	5.8141	-0.3506	1.6856	-0.2452	-0.0019	-0.0008	-0.0049	0.0043	-0.0618	-0.0254	-0.1581	0.1372
1.9060	5.8138	-0.3507	1.6853	-0.2448	-0.0033	-0.0011	-0.0037	0.0040	-0.1112	-0.0372	-0.1218	0.1319
1.9360	5.8133	-0.3508	1.6849	-0.2443	-0.0101	-0.0025	-0.0048	0.0071	-0.3370	-0.0826	-0.1605	0.2366
1.9680	5.8127	-0.3509	1.6848	-0.2441	-0.0122	-0.0018	-0.0019	0.0058	-0.3812	-0.0565	-0.0600	0.1805
2.0010	5.8120	-0.3510	1.6849	-0.2438	-0.0148	-0.0023	0.0016	0.0047	-0.4480	-0.0711	0.0481	0.1437
2.0340	5.8108	-0.3512	1.6852	-0.2436	-0.0189	-0.0024	0.0057	0.0036	-0.5715	-0.0724	0.1721	0.1095
2.0390	5.8101	-0.3512	1.6854	-0.2435	-0.0702	-0.0070	0.0254	0.0093	-14.0373	-1.4092	5.0857	1.8601
2.0520	5.8096	-0.3513	1.6856	-0.2434	-0.0368	-0.0037	0.0156	0.0040	-2.8312	-0.2880	1.2005	0.3072
2.0850	5.8093	-0.3513	1.6857	-0.2434	-0.0092	-0.0005	0.0039	0.0009	-0.2802	-0.0163	0.1168	0.0267
2.1180	5.8076	-0.3515	1.6866	-0.2433	-0.0275	-0.0030	0.0147	0.0011	-0.8332	-0.0909	0.4449	0.0342
2.1500	5.8062	-0.3516	1.6874	-0.2433	-0.0314	-0.0019	0.0180	0.0001	-0.9805	-0.0590	0.5621	0.0041
2.1800	5.8044	-0.3517	1.6885	-0.2433	-0.0209	-0.0011	0.0133	-0.0007	-0.6956	-0.0373	0.4433	-0.0221
2.1900	5.8026	-0.3518	1.6897	-0.2434	-0.0631	-0.0043	0.0413	-0.0034	-6.3076	-0.4286	4.1256	-0.3370
2.1990	5.8020	-0.3518	1.6901	-0.2434	-0.0647	-0.0036	0.0430	-0.0041	-7.1885	-0.4032	4.7821	-0.4542
2.2300	5.8007	-0.3519	1.6910	-0.2435	-0.0437	-0.0029	0.0303	-0.0031	-1.4111	-0.0936	0.9788	-0.1015
2.2630	5.7977	-0.3520	1.6932	-0.2438	-0.0679	-0.0028	0.0498	-0.0065	-2.0590	-0.0861	1.5093	-0.1959
2.2970	5.7970	-0.3521	1.6938	-0.2439	-0.0230	-0.0013	0.0171	-0.0024	-0.6767	-0.0370	0.5039	-0.0719
2.3170	5.7945	-0.3522	1.6956	-0.2442	-0.0425	-0.0021	0.0325	-0.0051	-2.1254	-0.1069	1.6247	-0.2566
2.3190	5.7927	-0.3523	1.6970	-0.2444	-0.4489	-0.0149	0.3510	-0.0570	-224.4597	-7.4522	175.5081	-28.5180
2.3290	5.7918	-0.3523	1.6977	-0.2445	-0.0915	-0.0029	0.0717	-0.0122	-9.1513	-0.2923	7.1661	-1.2220
2.3610	5.7899	-0.3524	1.6992	-0.2448	-0.0594	-0.0022	0.0470	-0.0082	-1.8557	-0.0675	1.4689	-0.2557
2.3940	5.7879	-0.3524	1.7008	-0.2451	-0.0304	-0.0012	0.0241	-0.0045	-0.9208	-0.0369	0.7290	-0.1371
2.4260	5.7835	-0.3526	1.7044	-0.2457	-0.0712	-0.0027	0.0588	-0.0114	-2.2264	-0.0854	1.8363	-0.3556
2.4600	5.7802	-0.3527	1.7072	-0.2463	-0.0679	-0.0027	0.0565	-0.0115	-1.9959	-0.0799	1.6606	-0.3368
2.4920	5.7753	-0.3529	1.7113	-0.2472	-0.0790	-0.0020	0.0670	-0.0139	-2.4686	-0.0615	2.0942	-0.4350
2.4990	5.7727	-0.3530	1.7136	-0.2476	-0.1885	-0.0068	0.1621	-0.0345	-26.9340	-0.9655	23.1511	-4.9339
2.5090	5.7713	-0.3530	1.7147	-0.2479	-0.1342	-0.0029	0.1159	-0.0250	-13.4166	-0.2926	11.5888	-2.5011
2.5420	5.7671	-0.3531	1.7184	-0.2487	-0.1267	-0.0031	0.1114	-0.0242	-3.8398	-0.0928	3.3769	-0.7325
2.5740	5.7657	-0.3531	1.7197	-0.2490	-0.0449	-0.0012	0.0392	-0.0088	-1.4038	-0.0380	1.2250	-0.2742
2.6040	5.7597	-0.3533	1.7250	-0.2502	-0.1021	-0.0022	0.0908	-0.0206	-3.4024	-0.0741	3.0258	-0.6869
2.6320	5.7533	-0.3535	1.7307	-0.2515	-0.1503	-0.0066	0.1358	-0.0301	-5.3675	-0.2359	4.8501	-1.0759
2.6640	5.7516	-0.3537	1.7323	-0.2518	-0.0506	-0.0047	0.0474	-0.0101	-1.5811	-0.1481	1.4825	-0.3151
2.6990	5.7468	-0.3545	1.7370	-0.2527	-0.0456	-0.0100	0.0457	-0.0088	-1.3036	-0.2859	1.3063	-0.2520
2.7290	5.7374	-0.3586	1.7471	-0.2545	-0.1555	-0.0830	0.1722	-0.0288	-5.1837	-2.7651	5.7391	-0.9605
2.7410	5.7356	-0.3599	1.7492	-0.2548	-0.1546	-0.1068	0.1776	-0.0279	-12.8807	-8.8991	14.8012	-2.3229
2.7490	5.7343	-0.3608	1.7507	-0.2550	-0.1538	-0.1158	0.1797	-0.0276	-19.2285	-14.4732	22.4646	-3.4515
2.7810	5.7313	-0.3635	1.7544	-0.2556	-0.0958	-0.0828	0.1151	-0.0168	-2.9949	-2.5890	3.5979	-0.5260
