q1_d	q2_d	q3_d	q4_d	q1_a	q2_a	q3_a	q4_a	u1	u2	u2	u4
0.1148	0.3603	-0.5003	0.1957	0.1021	0.3561	-0.4998	0.2011	-3460.5674	121206.0156	4207.4229	-3348.1370
0.1412	0.3763	-0.5587	0.2330	0.1295	0.3764	-0.5576	0.2388	-3677.4170	119708.7500	3498.4248	-3402.6121
0.1678	0.3911	-0.6129	0.2690	0.1572	0.3953	-0.6112	0.2753	-3820.5784	117659.3594	2921.9810	-3400.5029
0.1947	0.4046	-0.6632	0.3039	0.1851	0.4129	-0.6608	0.3105	-3806.1931	115839.1328	2406.8188	-3410.9585
0.2217	0.4172	-0.7098	0.3377	0.2130	0.4292	-0.7068	0.3446	-3872.4065	114169.0781	1852.2444	-3426.2808
0.2489	0.4289	-0.7530	0.3704	0.2410	0.4445	-0.7493	0.3776	-3891.6523	112452.1250	1313.1927	-3330.0864
0.2761	0.4397	-0.7929	0.4020	0.2690	0.4587	-0.7886	0.4095	-3881.6514	110689.2578	966.5104	-3438.3765
0.3034	0.4499	-0.8298	0.4326	0.2970	0.4720	-0.8249	0.4403	-4013.5051	109304.2812	522.8191	-3388.2861
0.3305	0.4595	-0.8638	0.4622	0.3250	0.4844	-0.8583	0.4701	-4032.9377	107816.8125	158.7636	-3369.0515
0.3576	0.4685	-0.8951	0.4909	0.3528	0.4960	-0.8890	0.4989	-4023.7395	106485.7266	-155.7513	-3396.4995
0.3846	0.4770	-0.9237	0.5186	0.3804	0.5069	-0.9171	0.5267	-4091.0691	105132.5391	-445.6707	-3319.9556
0.4114	0.4851	-0.9497	0.5454	0.4078	0.5171	-0.9427	0.5537	-4129.6465	104126.0547	-770.9677	-3268.7498
0.4379	0.4929	-0.9734	0.5714	0.4348	0.5269	-0.9599	0.5791	-2047.9791	96110.0391	-155837.0781	-3603.8130
0.4641	0.5004	-0.9947	0.5965	0.4615	0.5364	-0.9599	0.6043	-3144.2834	100652.0078	-155436.4219	-4049.4065
0.4900	0.5076	-1.0139	0.6209	0.4878	0.5449	-0.9600	0.6287	-2984.0173	102027.4766	-158044.0625	5887.7139
0.5156	0.5146	-1.0309	0.6444	0.5138	0.5528	-0.9599	0.6523	-3742.3455	101448.7500	-151000.5938	-3324.6511
0.5407	0.5214	-1.0459	0.6672	0.5394	0.5602	-0.9600	0.6751	-3104.9043	101402.1328	-155704.3438	6417.8599
0.5654	0.5280	-1.0590	0.6892	0.5645	0.5672	-0.9599	0.6971	-2841.3823	100733.0547	-149198.1719	-3016.1638
